iter	Passed	Remaining
0	1	100
1	1	87
2	2	81
3	3	82
4	4	86
5	5	89
6	6	88
7	8	96
8	9	99
9	11	104
10	13	106
11	14	105
12	15	105
13	16	103
14	18	104
15	19	103
16	20	102
17	22	100
18	23	99
19	24	98
20	25	96
21	27	96
22	28	95
23	29	93
24	30	92
25	31	90
26	32	88
27	33	87
28	34	85
29	35	83
30	36	81
31	37	79
32	38	77
33	39	75
34	40	74
35	41	73
36	42	71
37	43	70
38	44	69
39	45	67
40	46	66
41	46	64
42	47	63
43	48	61
44	49	60
45	50	59
46	51	58
47	52	56
48	53	55
49	54	54
50	55	53
51	56	52
52	57	50
53	58	49
54	58	48
55	59	46
56	60	45
57	61	44
58	62	43
59	63	42
60	64	41
61	65	39
62	66	38
63	66	37
64	67	36
65	68	35
66	69	34
67	70	33
68	71	31
69	71	30
70	72	29
71	73	28
72	74	27
73	74	26
74	75	25
75	76	24
76	77	23
77	78	22
78	78	20
79	79	19
80	80	18
81	80	17
82	81	16
83	82	15
84	83	14
85	83	13
86	84	12
87	85	11
88	86	10
89	87	9
90	87	8
91	88	7
92	89	6
93	90	5
94	90	4
95	91	3
96	92	2
97	93	1
98	93	0
99	94	0
