iter	Passed	Remaining
0	123	123658
1	125	62662
2	126	42173
3	127	31860
4	129	25714
5	130	21567
6	131	18639
7	132	16427
8	133	14679
9	134	13269
10	134	12112
11	135	11148
12	136	10332
13	136	9628
14	138	9104
15	139	8590
16	141	8168
17	142	7791
18	144	7435
19	144	7092
20	145	6778
21	146	6492
22	146	6229
23	147	5991
24	148	5772
25	148	5568
26	149	5381
27	149	5205
28	150	5042
29	151	4890
30	152	4759
31	153	4631
32	153	4509
33	155	4411
34	156	4325
35	157	4219
36	158	4118
37	158	4022
38	159	3932
39	160	3847
40	161	3766
41	161	3687
42	162	3613
43	163	3542
44	163	3475
45	164	3409
46	164	3345
47	165	3284
48	166	3226
49	167	3182
50	168	3132
51	169	3087
52	170	3046
53	171	2999
54	171	2954
55	172	2910
56	173	2874
57	174	2834
58	175	2795
59	175	2755
60	176	2717
61	177	2679
62	177	2643
63	178	2608
64	179	2575
65	179	2543
66	180	2511
67	181	2484
68	182	2457
69	183	2432
70	184	2408
71	185	2387
72	186	2364
73	186	2338
74	187	2312
75	188	2287
76	188	2263
77	189	2240
78	190	2217
79	190	2194
80	191	2171
81	192	2150
82	192	2125
83	193	2104
84	193	2084
85	194	2064
86	195	2054
87	196	2039
88	197	2024
89	198	2009
90	199	1995
91	200	1981
92	202	1970
93	202	1955
94	203	1940
95	204	1925
96	205	1912
97	206	1898
98	207	1884
99	207	1871
100	208	1856
101	209	1842
102	210	1829
103	210	1815
104	211	1804
105	212	1794
106	213	1784
107	214	1774
108	216	1767
109	217	1757
110	217	1745
111	218	1735
112	219	1723
113	220	1712
114	221	1703
115	222	1692
116	222	1681
117	223	1671
118	224	1662
119	225	1651
120	226	1642
121	226	1631
122	227	1622
123	228	1614
124	229	1606
125	230	1600
126	231	1590
127	232	1581
128	232	1572
129	233	1564
130	234	1555
131	235	1546
132	235	1537
133	236	1529
134	237	1520
135	238	1512
136	238	1504
137	239	1495
138	240	1489
139	241	1480
140	241	1473
141	242	1464
142	243	1461
143	245	1458
144	246	1452
145	247	1446
146	248	1440
147	249	1435
148	250	1429
149	251	1423
150	252	1417
151	252	1411
152	253	1405
153	254	1400
154	255	1394
155	256	1387
156	257	1381
157	258	1377
158	259	1374
159	261	1370
160	261	1363
161	262	1358
162	263	1352
163	264	1348
164	265	1343
165	266	1338
166	267	1334
167	268	1329
168	269	1324
169	270	1318
170	270	1312
171	271	1307
172	272	1303
173	274	1301
174	275	1300
175	277	1297
176	278	1294
177	279	1290
178	280	1286
179	282	1284
180	283	1281
181	284	1277
182	285	1272
183	285	1268
184	286	1264
185	287	1259
186	289	1258
187	291	1257
188	292	1255
189	293	1250
190	294	1247
191	295	1243
192	296	1239
193	297	1235
194	298	1231
195	299	1228
196	300	1223
197	301	1219
198	301	1214
199	302	1211
200	304	1209
201	305	1207
202	306	1204
203	307	1200
204	308	1196
205	309	1192
206	310	1188
207	311	1185
208	312	1181
209	313	1177
210	314	1174
211	314	1170
212	315	1166
213	316	1162
214	317	1160
215	319	1158
216	320	1156
217	321	1154
218	322	1151
219	323	1148
220	324	1145
221	325	1141
222	326	1138
223	327	1135
224	328	1132
225	329	1128
226	330	1125
227	331	1121
228	332	1118
229	333	1115
230	334	1113
231	336	1112
232	337	1109
233	338	1106
234	338	1103
235	340	1100
236	341	1098
237	341	1094
238	342	1091
239	343	1088
240	344	1085
241	345	1082
242	346	1078
243	346	1075
244	348	1072
245	349	1071
246	350	1069
247	351	1067
248	353	1064
249	354	1062
250	354	1059
251	355	1056
252	356	1053
253	357	1050
254	358	1048
255	359	1045
256	360	1043
257	362	1041
258	363	1039
259	364	1038
260	366	1036
261	367	1034
262	368	1032
263	369	1030
264	370	1028
265	371	1025
266	372	1022
267	373	1020
268	374	1017
269	375	1014
270	375	1011
271	376	1007
272	377	1004
273	378	1002
274	379	1001
275	381	1000
276	382	999
277	383	996
278	384	994
279	385	992
280	386	989
281	387	986
282	388	984
283	389	981
284	390	979
285	391	976
286	391	973
287	392	970
288	394	969
289	395	968
290	397	967
291	398	965
292	399	963
293	399	960
294	400	958
295	402	956
296	403	954
297	403	951
298	405	949
299	405	947
300	406	944
301	407	942
302	408	939
303	409	938
304	411	938
305	412	936
306	413	934
307	414	932
308	415	929
309	416	927
310	417	925
311	418	923
312	420	921
313	420	919
314	421	916
315	422	914
316	423	911
317	424	909
318	425	907
319	426	906
320	427	904
321	428	902
322	429	899
323	430	897
324	431	895
325	432	893
326	433	891
327	434	889
328	435	887
329	436	885
330	437	883
331	437	881
332	438	878
333	440	877
334	441	876
335	442	875
336	443	873
